SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -642.506 13.459 -1.965 -16.192 -1.115 -7.043 -0.485 928.471 1452.775 524.304 12.0 0.146 1.185 0.463 -3.652 -1494.668 302.474 4.02 131.802 414.8 -11.147 203.605 0.448 -7.973 -13.3 -20.266 -206.592 2.0 327.0 51.0 110.659 -8.321 0.0 -0.955 3.225 -27.766 -21.2 0.0 0.0 -1.002 -41.074 -0.763 -7.633 c.11.35
SCORE: -649.298 13.5 -1.986 -16.634 -1.087 -2.883 -0.188 928.713 1530.577 601.864 10.0 0.146 1.195 0.459 -3.656 -1494.443 300.016 3.853 133.362 415.207 -12.316 200.082 1.191 -9.238 -13.884 -18.957 -206.677 3.0 327.0 59.0 107.784 -6.431 0.0 -0.923 3.291 -27.89 -21.2 0.0 0.0 -1.005 -49.246 -0.52 -5.196 c.11.36
SCORE: -647.381 13.421 -1.98 -22.574 -1.463 -19.394 -1.257 978.514 1543.283 564.77 7.0 0.146 1.183 0.46 -3.65 -1490.807 307.782 3.976 131.78 417.917 -10.595 189.365 0.32 -10.38 -14.073 -19.887 -205.865 4.0 327.0 54.0 108.858 -7.761 0.0 -0.882 3.181 -27.81 -21.2 0.0 0.0 -0.916 -40.29 -0.733 -7.327 c.11.37
SCORE: -653.805 14.0 -1.999 -16.266 -1.209 -9.882 -0.734 944.113 1345.956 401.843 14.0 0.146 1.187 0.459 -3.663 -1491.291 297.043 3.936 131.918 412.274 -11.168 193.878 0.148 -9.408 -13.035 -18.029 -206.713 1.0 327.0 55.0 110.505 -6.525 0.0 -0.943 3.168 -27.287 -21.2 0.0 0.0 -1.035 -46.555 -0.532 -5.32 c.11.38
SCORE: -650.245 13.444 -1.989 -20.051 -1.38 -8.243 -0.567 864.188 1452.796 588.608 13.0 0.147 1.214 0.455 -3.671 -1494.213 298.471 3.678 131.63 416.261 -11.14 198.708 0.637 -10.998 -13.166 -19.621 -206.708 3.0 327.0 56.0 110.904 -6.648 0.0 -0.904 3.203 -27.551 -21.2 0.0 0.0 -0.942 -43.34 -0.731 -7.31 c.11.39
SCORE: -657.21 14.1 -2.01 -19.953 -1.463 -12.284 -0.901 853.085 1363.835 510.749 7.0 0.144 1.143 0.465 -3.582 -1495.404 300.976 3.899 131.675 416.623 -11.677 188.99 0.172 -10.376 -14.048 -16.625 -206.598 3.0 327.0 59.0 110.311 -7.674 0.0 -0.92 3.189 -27.439 -21.2 0.0 0.0 -0.949 -46.484 -0.779 -7.785 c.11.4
SCORE: -651.274 14.535 -1.992 -19.704 -1.378 -12.339 -0.863 841.939 1430.301 588.362 13.0 0.146 1.181 0.461 -3.646 -1490.195 300.946 3.989 132.222 414.95 -11.723 199.182 0.594 -12.139 -12.916 -22.015 -206.262 5.0 327.0 52.0 108.816 -8.394 0.0 -1.094 3.163 -27.842 -21.2 0.0 0.0 -1.187 -49.846 -0.702 -7.02 c.11.40
SCORE: -650.03 13.359 -1.988 -13.688 -0.973 -12.794 -0.909 829.81 1407.215 577.405 9.0 0.145 1.185 0.459 -3.653 -1487.983 299.944 3.751 130.34 420.412 -11.18 189.479 0.127 -9.068 -14.438 -19.035 -206.756 2.0 327.0 56.0 109.22 -7.293 0.0 -1.028 3.203 -27.563 -21.2 0.0 0.0 -1.101 -50.628 -0.693 -6.925 c.11.41
SCORE: -642.734 13.622 -1.966 -15.185 -1.107 -1.531 -0.112 939.007 1372.08 433.074 7.0 0.148 1.213 0.445 -3.653 -1489.158 301.735 3.788 131.201 412.7 -11.407 197.964 0.686 -9.659 -13.207 -18.097 -206.61 1.0 327.0 52.0 112.367 -6.794 0.0 -0.655 3.237 -27.746 -21.2 0.0 0.0 -0.734 -30.833 -0.325 -3.251 c.11.42
SCORE: -650.655 14.75 -1.99 -18.913 -1.396 -9.402 -0.694 836.234 1355.273 519.039 14.0 0.146 1.203 0.459 -3.662 -1498.492 303.514 3.969 131.345 418.667 -11.371 198.686 0.299 -11.019 -13.088 -19.351 -206.671 3.0 327.0 57.0 108.005 -7.574 0.0 -1.094 3.181 -27.403 -21.2 0.0 0.0 -1.165 -54.737 -0.764 -7.643 c.11.43
